dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,99735.0,60081.328125,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,99735.0,60081.328125,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,104670.0,78111.9375,Plastered hallow blocks,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,104670.0,78111.9375,Plastered hallow blocks,Corrugated iron sheet,Cement screed/Cement screed not applied
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Male,urban,174652.0,94919.5703125,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,174652.0,94919.5703125,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,174652.0,94919.5703125,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,174652.0,94919.5703125,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Male,urban,174652.0,94919.5703125,Corrugated iron,Corrugated iron sheet,Plastic tiles
1.3,194.0,48.7,5.6,0.1,65+,Male,urban,165937.84375,99962.5546875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,51-65,Female,urban,165937.84375,99962.5546875,Wood and mud,Wood and mud,Mud
1.3,194.0,48.7,5.6,0.1,18-30,Female,urban,165937.84375,99962.5546875,Wood and mud,Wood and mud,Mud
0.7,9.8,249.3,9.8,0.3,51-65,Female,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
0.7,9.8,249.3,9.8,0.3,31-50,Male,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
0.7,9.8,249.3,9.8,0.3,0-17,Male,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
0.7,9.8,249.3,9.8,0.3,18-30,Male,urban,73114.0,18278.5,Wood and mud,Corrugated iron sheet,Mud
